:START_ID,:END_ID,:TYPE
1 Chronicles,1 Chronicles.1,CONTAINS
1 Chronicles,1 Chronicles.2,CONTAINS
1 Chronicles,1 Chronicles.3,CONTAINS
1 Chronicles,1 Chronicles.4,CONTAINS
1 Chronicles,1 Chronicles.5,CONTAINS
1 Chronicles,1 Chronicles.6,CONTAINS
1 Chronicles,1 Chronicles.7,CONTAINS
1 Chronicles,1 Chronicles.8,CONTAINS
1 Chronicles,1 Chronicles.9,CONTAINS
1 Chronicles,1 Chronicles.10,CONTAINS
1 Chronicles,1 Chronicles.11,CONTAINS
1 Chronicles,1 Chronicles.12,CONTAINS
1 Chronicles,1 Chronicles.13,CONTAINS
1 Chronicles,1 Chronicles.14,CONTAINS
1 Chronicles,1 Chronicles.15,CONTAINS
1 Chronicles,1 Chronicles.16,CONTAINS
1 Chronicles,1 Chronicles.17,CONTAINS
1 Chronicles,1 Chronicles.18,CONTAINS
1 Chronicles,1 Chronicles.19,CONTAINS
1 Chronicles,1 Chronicles.20,CONTAINS
1 Chronicles,1 Chronicles.21,CONTAINS
1 Chronicles,1 Chronicles.22,CONTAINS
1 Chronicles,1 Chronicles.23,CONTAINS
1 Chronicles,1 Chronicles.24,CONTAINS
1 Chronicles,1 Chronicles.25,CONTAINS
1 Chronicles,1 Chronicles.26,CONTAINS
1 Chronicles,1 Chronicles.27,CONTAINS
1 Chronicles,1 Chronicles.28,CONTAINS
1 Chronicles,1 Chronicles.29,CONTAINS
1 Corinthians,1 Corinthians.1,CONTAINS
1 Corinthians,1 Corinthians.2,CONTAINS
1 Corinthians,1 Corinthians.3,CONTAINS
1 Corinthians,1 Corinthians.4,CONTAINS
1 Corinthians,1 Corinthians.5,CONTAINS
1 Corinthians,1 Corinthians.6,CONTAINS
1 Corinthians,1 Corinthians.7,CONTAINS
1 Corinthians,1 Corinthians.8,CONTAINS
1 Corinthians,1 Corinthians.9,CONTAINS
1 Corinthians,1 Corinthians.10,CONTAINS
1 Corinthians,1 Corinthians.11,CONTAINS
1 Corinthians,1 Corinthians.12,CONTAINS
1 Corinthians,1 Corinthians.13,CONTAINS
1 Corinthians,1 Corinthians.14,CONTAINS
1 Corinthians,1 Corinthians.15,CONTAINS
1 Corinthians,1 Corinthians.16,CONTAINS
1 John,1 John.1,CONTAINS
1 John,1 John.2,CONTAINS
1 John,1 John.3,CONTAINS
1 John,1 John.4,CONTAINS
1 John,1 John.5,CONTAINS
1 Kings,1 Kings.1,CONTAINS
1 Kings,1 Kings.2,CONTAINS
1 Kings,1 Kings.3,CONTAINS
1 Kings,1 Kings.4,CONTAINS
1 Kings,1 Kings.5,CONTAINS
1 Kings,1 Kings.6,CONTAINS
1 Kings,1 Kings.7,CONTAINS
1 Kings,1 Kings.8,CONTAINS
1 Kings,1 Kings.9,CONTAINS
