book,1 Chronicles,1 Corinthians,1 John,1 Kings,1 Peter,1 Samuel,1 Thessalonians,1 Timothy,2 Chronicles,2 Corinthians,2 John,2 Kings,2 Peter,2 Samuel,2 Thessalonians,2 Timothy,3 John,Acts,Amos,Colossians,Daniel,Deuteronomy,Ecclesiastes,Ephesians,Esther,Exodus,Ezekiel,Ezra,Galatians,Genesis,Habakkuk,Haggai,Hebrews,Hosea,Isaiah,James,Jeremiah,Job,Joel,John,Jonah,Joshua,Jude,Judges,Lamentations,Leviticus,Luke,Malachi,Mark,Matthew,Micah,Nahum,Nehemiah,Numbers,Obadiah,Philemon,Philippians,Proverbs,Psalm,Revelation,Romans,Ruth,Song of Solomon,Titus,Zechariah,Zephaniah
1 Chronicles,1.0,0.7372379442248616,0.6632958705397496,0.9316804479744265,0.7274258521218483,0.9129239657184898,0.714205792009546,0.7142225941119941,0.9357190620795968,0.7146345389012603,0.5857989635966168,0.8955227348572942,0.6918692546581386,0.9298627114373743,0.6663023081850461,0.7347636958664396,0.6246943229175816,0.7945146061780433,0.8037933490543338,0.6894610341807789,0.798725637504085,0.8294021972273402,0.6835524964203024,0.6997209399919007,0.768801524429509,0.8287582511140317,0.8331410756973731,0.8686792918244332,0.7014004715131587,0.8646792971348685,0.7797709165658406,0.8067762899975244,0.7586114378920132,0.7722147508282713,0.8019858623485427,0.684578970974325,0.8379800391807715,0.7266362392338606,0.7426683325371942,0.7568263143052536,0.7481779654106779,0.8879933035033603,0.7029098736902061,0.9005096308981895,0.7721596817380644,0.7703270441694682,0.7934345283659352,0.7712559994007064,0.7766070974422443,0.7949505825026516,0.7872144559472977,0.7640507572821273,0.887306683396427,0.8715484829355045,0.7609082210960022,0.6850679457220339,0.7251591168605644,0.7271476946338276,0.8014374763972658,0.7359868549106648,0.7262271884512392,0.7802764128672339,0.7724262482802355,0.7194769223933222,0.8069510667207329,0.7593323880532081
1 Corinthians,0.7372379442248616,1.0000000000000002,0.7744154356802837,0.7618120720932653,0.8293967225972885,0.7678243256974632,0.8507297299617913,0.8655439150007167,0.734457334365689,0.9383608435197595,0.7334933560391922,0.7097320175555446,0.7870049371461669,0.7335413143681415,0.7873287982539718,0.8546552414921795,0.7358245994389876,0.8417786604668276,0.7183758040350926,0.8715691269846526,0.7559751740002235,0.7961038107807719,0.7349111425794905,0.8279444469511402,0.6505213970310423,0.7792774156642361,0.7885205520851313,0.7267299924396929,0.8203035541848505,0.7536394464745133,0.7390054796697672,0.7414313254588534,0.8103374069376557,0.7246581691782199,0.7825226919895129,0.7980221351690984,0.7600504762593401,0.7665124915763147,0.718146750510744,0.8301104117273821,0.736183851802664,0.741380672938247,0.743399435161582,0.7502133875139295,0.7230349437116825,0.7736277737309158,0.8282997257022798,0.7482563368943647,0.8317041620971661,0.8377071372060854,0.7407201737193582,0.700417365803961,0.7563915281061795,0.7679465854945098,0.6904750875106829,0.7667033085185829,0.846813854836484,0.787311982836568,0.7853542787254242,0.7859508535840651,0.8875560266626441,0.6656592386853877,0.7255973188850842,0.8319667082003914,0.7207623837725983,0.6854232422248825
1 John,0.6632958705397496,0.7744154356802837,1.0,0.694262260493439,0.761837054905131,0.6827673440752537,0.7743224524406228,0.7778141444070865,0.6543024908493863,0.7389236590758186,0.8555807027658077,0.6529280354591609,0.7788914367025089,0.6700892097184166,0.7859899010494837,0.7835098043804178,0.7882450638476621,0.7067141182040277,0.6538237868398097,0.7879565200555289,0.6927373744012156,0.7086168549458421,0.6638963090329056,0.7448195812185678,0.5716039428834623,0.6754279801548232,0.7076380918290729,0.61778012092446,0.7380369533621701,0.7084017658088823,0.7057007281249688,0.6470098346172977,0.7492476041161394,0.6791174603287484,0.6918903555432871,0.7630416654369763,0.6971913406712285,0.7039749046732727,0.668277872976159,0.8357782479858702,0.6733458207665455,0.6795877543604997,0.7386141418575489,0.6768565679140301,0.676470137774174,0.6720208449942664,0.7664071776523501,0.7045406169606727,0.7569349368516334,0.776348379008052,0.6922282425122014,0.6579236587450558,0.6532670786752367,0.6693709906661255,0.6459359359807698,0.6493185605155638,0.7518906949515942,0.7191572517512272,0.7026854981196107,0.7495461179747722,0.7961961794115198,0.6172869962798353,0.6669728595253559,0.7572749403958724,0.6889533938512107,0.6528904607529367
1 Kings,0.9316804479744265,0.7618120720932653,0.694262260493439,1.0000000000000007,0.7363797851923092,0.910736839625812,0.7241816224579435,0.7405395303590429,0.947683325565414,0.7274115352106728,0.6122291778958159,0.9500957836701164,0.7400350200098662,0.920871307068667,0.6863682320534976,0.755901118781994,0.6377335998269416,0.8056781704867974,0.8514971815135536,0.6982916506278324,0.8480449862943967,0.8405700843307647,0.7395478148004526,0.6962499623053686,0.7809859207077166,0.8433150738447931,0.8746518939665008,0.8587773298899646,0.7046059029171761,0.8632610676487982,0.8302444926800834,0.8402749665461233,0.7623339236728723,0.8201175583967933,0.8340511371799302,0.7337071764653876,0.8810525606386255,0.7799738023266445,0.7761912247609067,0.7948338373933201,0.8116772336023274,0.8717339595931786,0.7170321684996027,0.9079184819908976,0.8084142396018744,0.7914951106089616,0.833531161951577,0.806446383647935,0.8207293746302154,0.8278416585979874,0.8230544394448975,0.8311741761754243,0.8811085007901769,0.8558751907773324,0.7836696388038153,0.6854864099289015,0.7200167137685597,0.7861031337111545,0.7969898328093257,0.7723901376111889,0.7356109370312593,0.7898508824914661,0.8080817764477397,0.7265350633689498,0.8319597114622375,0.7960864216432386
1 Peter,0.7274258521218483,0.8293967225972885,0.761837054905131,0.7363797851923092,1.0,0.7193579966763554,0.8321307148808864,0.8343497453302287,0.7151109002423189,0.8097189272636598,0.714548250422179,0.6916075887077984,0.8329542506482955,0.7233124708627717,0.7591367464838963,0.8468465213817384,0.6961439538575017,0.7834472166505544,0.6987529675026545,0.8182234102342181,0.7491383806269724,0.768584756786298,0.6833070410171458,0.8298297181075419,0.6938239542137994,0.7439580788037016,0.7551210003013887,0.7063969947446299,0.7658441774334723,0.7525389334874115,0.7300400208134876,0.7361901558414987,0.8065717621887569,0.7231964645813409,0.7588114838877315,0.7880698085604838,0.7427397911681047,0.7216355227847013,0.7073125052016374,0.7932946463350432,0.7179545152632992,0.7262703003655293,0.7323670816220512,0.7128541075933256,0.7366741979268672,0.7188126891997599,0.8044659118984476,0.717791627335768,0.7841575851655913,0.805926973904075,0.7358522484850244,0.6996596221705182,0.7423908048588567,0.7271250183252616,0.6976772638672863,0.7222769851886119,0.8134598034249257,0.7492450171208165,0.7608159042501939,0.7615926825157283,0.8261748807415585,0.6811637604271628,0.7438500862610182,0.8352635131730715,0.7413712299438707,0.7116039438635029
1 Samuel,0.9129239657184898,0.7678243256974632,0.6827673440752537,0.910736839625812,0.7193579966763554,0.9999999999999989,0.739833842143405,0.732560105716975,0.871977504934032,0.7451112670290853,0.5933409351777799,0.8702051174093435,0.7053860114417059,0.954699816523933,0.6882436845062433,0.752330664705641,0.6308240588897243,0.8258414983592307,0.8154959676951867,0.6918460571185753,0.7957836006815888,0.8355594321569673,0.6936747184017413,0.6834216596201479,0.7207675086350578,0.8326897110440843,0.8309835210570948,0.7890603374843627,0.7267791590757184,0.8539320026108107,0.7871105215403682,0.7748680800286663,0.7570386717995136,0.7707630513091763,0.8048099567853338,0.7083587224933764,0.833652351979279,0.767311740498811,0.7612930320424132,0.789417220255617,0.7838085613834322,0.8666601227456263,0.6930453662723365,0.9109149970393693,0.7786223071933285,0.783882069458541,0.814944583407111,0.7733206353275517,0.8100503167319852,0.8133148813505422,0.7869423901745545,0.7800642213682398,0.8265140904212147,0.8481016610241554,0.7562044749379173,0.7028588548236834,0.7517175112206335,0.7618678336261976,0.820512056423149,0.7333752969581115,0.7538462528963324,0.7885190719064372,0.7590055800120261,0.7224219860064505,0.769962860427683,0.7488732193145398
1 Thessalonians,0.714205792009546,0.8507297299617913,0.7743224524406228,0.7241816224579435,0.8321307148808864,0.739833842143405,1.0,0.847502712227935,0.7086542086714733,0.8606672486911189,0.7580739161492674,0.6893727788122522,0.7595653983838027,0.7169217863256437,0.87523817575321,0.8615081466100232,0.7504718276726566,0.8071099738859577,0.6996912045514074,0.8369238788799168,0.7245436761141447,0.7543129955525645,0.663105325455129,0.8137979366145583,0.6396287853133996,0.718414717794595,0.7473540264310538,0.7085050252933964,0.7817802818069948,0.7049453622680563,0.7132014829042223,0.7203694828329192,0.7732243245520657,0.7005999259214045,0.7468986427429614,0.7549080132800514,0.7391508176453572,0.6945664461411869,0.7197744614238157,0.7827247297426703,0.7037855832406581,0.7166929819454027,0.7211010687949864,0.7155958111977152,0.7282110990661991,0.7104250750834671,0.782693677701487,0.7270528658040711,0.7655836562043222,0.776985985600061,0.719312217770726,0.6964897473441749,0.7502860003830849,0.71965929949491,0.66796834934667,0.7810398221143724,0.8444288168727171,0.7109278292727975,0.7552395159663469,0.7404079150409131,0.8322925389570921,0.6647814873132334,0.7043195556162202,0.8443530365647628,0.7165170526053616,0.6965815935709709
1 Timothy,0.7142225941119941,0.8655439150007167,0.7778141444070865,0.7405395303590429,0.8343497453302287,0.732560105716975,0.847502712227935,1.0000000000000007,0.702716756261967,0.8194242202105905,0.7239971576939327,0.6860080490755126,0.7706123503791865,0.7155991062626809,0.7882956777049555,0.897397039338929,0.7132686781436958,0.7812414645116663,0.6986264186904527,0.8119521995661836,0.7245666635132866,0.7419137803056044,0.697056466017472,0.7870382975975354,0.6635874360851581,0.7102984085265712,0.7235660037928044,0.6868957240324156,0.7648023002110659,0.7184491902545357,0.7033937990299359,0.6942934362252808,0.7718728702955213,0.7008395527745522,0.7245486563080746,0.7835888863748438,0.7140338318721376,0.7195605798096164,0.6809882499632839,0.7704304226178954,0.7090404535839163,0.6941279218238228,0.7360411933428962,0.7209636583193431,0.6823476604955425,0.7273697546285472,0.7828574430233856,0.7348554182617902,0.7750131898038833,0.787758888417186,0.7215033147321588,0.6739068636773593,0.7218557077196288,0.7009993859972892,0.6454234249629953,0.7471405097591588,0.8356446706723203,0.7729899896621353,0.7331883193650035,0.7284073220798818,0.8257488495613092,0.6683850839444435,0.6951758452458943,0.8867346114214042,0.6921586734548836,0.656812474564206
2 Chronicles,0.9357190620795968,0.734457334365689,0.6543024908493863,0.947683325565414,0.7151109002423189,0.871977504934032,0.7086542086714733,0.702716756261967,1.0000000000000007,0.7457229182594525,0.6103491819654083,0.965406642055169,0.7316978970790284,0.9162638027355857,0.6980740594717334,0.7543270297965579,0.6119106956917212,0.8002125906602557,0.8309245485827973,0.7037945732598938,0.835254575381248,0.8334661126456153,0.7021511427920504,0.6954293691344152,0.7823155361348915,0.8303865894101568,0.8667992770419914,0.8983514441958718,0.6916925454883747,0.8311611029468287,0.8028818391934687,0.8475379869432359,0.7537652414611791,0.8041685306135173,0.8373202554595214,0.6948824254190675,0.8863619480783775,0.7427631140377786,0.7738731621268938,0.7638276475978254,0.7854155257294723,0.869506347665046,0.6987160355852706,0.8839676153876637,0.8130051414978281,0.7794183648701936,0.8084076875935251,0.797218543848801,0.7873986769906302,0.8014425887190173,0.8100293995634946,0.8144566065977488,0.9003244850193527,0.8467692068265559,0.7662115101339281,0.6585734285652491,0.7063024822053346,0.7514501124903128,0.8024135984439627,0.7612795293620518,0.733987871278676,0.7537643289131182,0.7568575978589351,0.7170306061975465,0.8348082314554224,0.8028978136233098
2 Corinthians,0.7146345389012603,0.9383608435197595,0.7389236590758186,0.7274115352106728,0.8097189272636598,0.7451112670290853,0.8606672486911189,0.8194242202105905,0.7457229182594525,0.999999999999999,0.747106206997024,0.7127807387835992,0.7822485073003299,0.7404401911712161,0.8145054617437434,0.8641623559884488,0.7347917304248026,0.8354764026490795,0.6976535236454815,0.8513732972994816,0.7471305388713692,0.7643191860638778,0.7007046988827098,0.8372703034634199,0.6426212880896308,0.760615267201754,0.7664234333039213,0.7369299543419314,0.8000436378686809,0.7297930179589966,0.725500103108904,0.7413768987393049,0.8049779145339858,0.7017262345869741,0.7752420274721936,0.7702005071393637,0.749234809904341,0.7563431385623921,0.7144951595966931,0.8025137792683471,0.7251010259968651,0.729725136513375,0.7126890012492678,0.727760194793057,0.7245303980389426,0.7243526219914416,0.8017054286956619,0.7314074688648651,0.796654865353053,0.8051064315504834,0.7204286280504403,0.6904218012622777,0.7606519471521767,0.743648221338406,0.6756393405571364,0.7722265752009468,0.8517508280722434,0.7432140829568943,0.7916657815755176,0.7656238433584559,0.8731720068838469,0.6650926814127499,0.6999257453714914,0.8313378825065111,0.7160809636400116,0.6773957282786418
