id,name,testament
1 Corinthians,1 Corinthians,NT
1 John,1 John,NT
1 Peter,1 Peter,NT
1 Thessalonians,1 Thessalonians,NT
1 Timothy,1 Timothy,NT
2 Corinthians,2 Corinthians,NT
2 John,2 John,NT
2 Peter,2 Peter,NT
2 Thessalonians,2 Thessalonians,NT
2 Timothy,2 Timothy,NT
3 John,3 John,NT
Acts,Acts,NT
Colossians,Colossians,NT
Ephesians,Ephesians,NT
Galatians,Galatians,NT
Hebrews,Hebrews,NT
James,James,NT
John,John,NT
Jude,Jude,NT
Luke,Luke,NT
Mark,Mark,NT
Matthew,Matthew,NT
Philemon,Philemon,NT
Philippians,Philippians,NT
Revelation,Revelation,NT
Romans,Romans,NT
Titus,Titus,NT
1 Chronicles,1 Chronicles,OT
1 Kings,1 Kings,OT
1 Samuel,1 Samuel,OT
2 Chronicles,2 Chronicles,OT
2 Kings,2 Kings,OT
2 Samuel,2 Samuel,OT
Amos,Amos,OT
Daniel,Daniel,OT
Deuteronomy,Deuteronomy,OT
Ecclesiastes,Ecclesiastes,OT
Esther,Esther,OT
Exodus,Exodus,OT
Ezekiel,Ezekiel,OT
Ezra,Ezra,OT
Genesis,Genesis,OT
Habakkuk,Habakkuk,OT
Haggai,Haggai,OT
Hosea,Hosea,OT
Isaiah,Isaiah,OT
Jeremiah,Jeremiah,OT
Job,Job,OT
Joel,Joel,OT
Jonah,Jonah,OT
Joshua,Joshua,OT
Judges,Judges,OT
Lamentations,Lamentations,OT
Leviticus,Leviticus,OT
Malachi,Malachi,OT
Micah,Micah,OT
Nahum,Nahum,OT
Nehemiah,Nehemiah,OT
Numbers,Numbers,OT
Obadiah,Obadiah,OT
Proverbs,Proverbs,OT
Psalm,Psalm,OT
Ruth,Ruth,OT
Song of Solomon,Song of Solomon,OT
Zechariah,Zechariah,OT
Zephaniah,Zephaniah,OT
