:START_ID,:END_ID,:TYPE
Genesis.1,Genesis.1.1,CONTAINS
Genesis.1,Genesis.1.2,CONTAINS
Genesis.1,Genesis.1.3,CONTAINS
Genesis.1,Genesis.1.4,CONTAINS
Genesis.1,Genesis.1.5,CONTAINS
Genesis.1,Genesis.1.6,CONTAINS
Genesis.1,Genesis.1.7,CONTAINS
Genesis.1,Genesis.1.8,CONTAINS
Genesis.1,Genesis.1.9,CONTAINS
Genesis.1,Genesis.1.10,CONTAINS
Genesis.1,Genesis.1.11,CONTAINS
Genesis.1,Genesis.1.12,CONTAINS
Genesis.1,Genesis.1.13,CONTAINS
Genesis.1,Genesis.1.14,CONTAINS
Genesis.1,Genesis.1.15,CONTAINS
Genesis.1,Genesis.1.16,CONTAINS
Genesis.1,Genesis.1.17,CONTAINS
Genesis.1,Genesis.1.18,CONTAINS
Genesis.1,Genesis.1.19,CONTAINS
Genesis.1,Genesis.1.20,CONTAINS
Genesis.1,Genesis.1.21,CONTAINS
Genesis.1,Genesis.1.22,CONTAINS
Genesis.1,Genesis.1.23,CONTAINS
Genesis.1,Genesis.1.24,CONTAINS
Genesis.1,Genesis.1.25,CONTAINS
Genesis.1,Genesis.1.26,CONTAINS
Genesis.1,Genesis.1.27,CONTAINS
Genesis.1,Genesis.1.28,CONTAINS
Genesis.1,Genesis.1.29,CONTAINS
Genesis.1,Genesis.1.30,CONTAINS
Genesis.1,Genesis.1.31,CONTAINS
Genesis.2,Genesis.2.1,CONTAINS
Genesis.2,Genesis.2.2,CONTAINS
Genesis.2,Genesis.2.3,CONTAINS
Genesis.2,Genesis.2.4,CONTAINS
Genesis.2,Genesis.2.5,CONTAINS
Genesis.2,Genesis.2.6,CONTAINS
Genesis.2,Genesis.2.7,CONTAINS
Genesis.2,Genesis.2.8,CONTAINS
Genesis.2,Genesis.2.9,CONTAINS
Genesis.2,Genesis.2.10,CONTAINS
Genesis.2,Genesis.2.11,CONTAINS
Genesis.2,Genesis.2.12,CONTAINS
Genesis.2,Genesis.2.13,CONTAINS
Genesis.2,Genesis.2.14,CONTAINS
Genesis.2,Genesis.2.15,CONTAINS
Genesis.2,Genesis.2.16,CONTAINS
Genesis.2,Genesis.2.17,CONTAINS
Genesis.2,Genesis.2.18,CONTAINS
Genesis.2,Genesis.2.19,CONTAINS
Genesis.2,Genesis.2.20,CONTAINS
Genesis.2,Genesis.2.21,CONTAINS
Genesis.2,Genesis.2.22,CONTAINS
Genesis.2,Genesis.2.23,CONTAINS
Genesis.2,Genesis.2.24,CONTAINS
Genesis.2,Genesis.2.25,CONTAINS
Genesis.3,Genesis.3.1,CONTAINS
Genesis.3,Genesis.3.2,CONTAINS
Genesis.3,Genesis.3.3,CONTAINS
Genesis.3,Genesis.3.4,CONTAINS
Genesis.3,Genesis.3.5,CONTAINS
Genesis.3,Genesis.3.6,CONTAINS
Genesis.3,Genesis.3.7,CONTAINS
Genesis.3,Genesis.3.8,CONTAINS
Genesis.3,Genesis.3.9,CONTAINS
Genesis.3,Genesis.3.10,CONTAINS
Genesis.3,Genesis.3.11,CONTAINS
Genesis.3,Genesis.3.12,CONTAINS
Genesis.3,Genesis.3.13,CONTAINS
Genesis.3,Genesis.3.14,CONTAINS
Genesis.3,Genesis.3.15,CONTAINS
Genesis.3,Genesis.3.16,CONTAINS
Genesis.3,Genesis.3.17,CONTAINS
Genesis.3,Genesis.3.18,CONTAINS
Genesis.3,Genesis.3.19,CONTAINS
Genesis.3,Genesis.3.20,CONTAINS
Genesis.3,Genesis.3.21,CONTAINS
Genesis.3,Genesis.3.22,CONTAINS
Genesis.3,Genesis.3.23,CONTAINS
Genesis.3,Genesis.3.24,CONTAINS
Genesis.4,Genesis.4.1,CONTAINS
Genesis.4,Genesis.4.2,CONTAINS
Genesis.4,Genesis.4.3,CONTAINS
Genesis.4,Genesis.4.4,CONTAINS
Genesis.4,Genesis.4.5,CONTAINS
Genesis.4,Genesis.4.6,CONTAINS
Genesis.4,Genesis.4.7,CONTAINS
Genesis.4,Genesis.4.8,CONTAINS
Genesis.4,Genesis.4.9,CONTAINS
Genesis.4,Genesis.4.10,CONTAINS
Genesis.4,Genesis.4.11,CONTAINS
Genesis.4,Genesis.4.12,CONTAINS
Genesis.4,Genesis.4.13,CONTAINS
Genesis.4,Genesis.4.14,CONTAINS
Genesis.4,Genesis.4.15,CONTAINS
Genesis.4,Genesis.4.16,CONTAINS
Genesis.4,Genesis.4.17,CONTAINS
