id,chapterNumber,bookId
1 Chronicles.1,1,1 Chronicles
1 Chronicles.2,2,1 Chronicles
1 Chronicles.3,3,1 Chronicles
1 Chronicles.4,4,1 Chronicles
1 Chronicles.5,5,1 Chronicles
1 Chronicles.6,6,1 Chronicles
1 Chronicles.7,7,1 Chronicles
1 Chronicles.8,8,1 Chronicles
1 Chronicles.9,9,1 Chronicles
1 Chronicles.10,10,1 Chronicles
1 Chronicles.11,11,1 Chronicles
1 Chronicles.12,12,1 Chronicles
1 Chronicles.13,13,1 Chronicles
1 Chronicles.14,14,1 Chronicles
1 Chronicles.15,15,1 Chronicles
1 Chronicles.16,16,1 Chronicles
1 Chronicles.17,17,1 Chronicles
1 Chronicles.18,18,1 Chronicles
1 Chronicles.19,19,1 Chronicles
1 Chronicles.20,20,1 Chronicles
1 Chronicles.21,21,1 Chronicles
1 Chronicles.22,22,1 Chronicles
1 Chronicles.23,23,1 Chronicles
1 Chronicles.24,24,1 Chronicles
1 Chronicles.25,25,1 Chronicles
1 Chronicles.26,26,1 Chronicles
1 Chronicles.27,27,1 Chronicles
1 Chronicles.28,28,1 Chronicles
1 Chronicles.29,29,1 Chronicles
1 Corinthians.1,1,1 Corinthians
1 Corinthians.2,2,1 Corinthians
1 Corinthians.3,3,1 Corinthians
1 Corinthians.4,4,1 Corinthians
1 Corinthians.5,5,1 Corinthians
1 Corinthians.6,6,1 Corinthians
1 Corinthians.7,7,1 Corinthians
1 Corinthians.8,8,1 Corinthians
1 Corinthians.9,9,1 Corinthians
1 Corinthians.10,10,1 Corinthians
1 Corinthians.11,11,1 Corinthians
1 Corinthians.12,12,1 Corinthians
1 Corinthians.13,13,1 Corinthians
1 Corinthians.14,14,1 Corinthians
1 Corinthians.15,15,1 Corinthians
1 Corinthians.16,16,1 Corinthians
1 John.1,1,1 John
1 John.2,2,1 John
1 John.3,3,1 John
1 John.4,4,1 John
1 John.5,5,1 John
1 Kings.1,1,1 Kings
1 Kings.2,2,1 Kings
1 Kings.3,3,1 Kings
1 Kings.4,4,1 Kings
1 Kings.5,5,1 Kings
1 Kings.6,6,1 Kings
1 Kings.7,7,1 Kings
1 Kings.8,8,1 Kings
1 Kings.9,9,1 Kings
1 Kings.10,10,1 Kings
1 Kings.11,11,1 Kings
1 Kings.12,12,1 Kings
1 Kings.13,13,1 Kings
1 Kings.14,14,1 Kings
1 Kings.15,15,1 Kings
1 Kings.16,16,1 Kings
1 Kings.17,17,1 Kings
1 Kings.18,18,1 Kings
1 Kings.19,19,1 Kings
1 Kings.20,20,1 Kings
1 Kings.21,21,1 Kings
1 Kings.22,22,1 Kings
1 Peter.1,1,1 Peter
1 Peter.2,2,1 Peter
1 Peter.3,3,1 Peter
1 Peter.4,4,1 Peter
1 Peter.5,5,1 Peter
1 Samuel.1,1,1 Samuel
1 Samuel.2,2,1 Samuel
1 Samuel.3,3,1 Samuel
1 Samuel.4,4,1 Samuel
1 Samuel.5,5,1 Samuel
1 Samuel.6,6,1 Samuel
1 Samuel.7,7,1 Samuel
1 Samuel.8,8,1 Samuel
1 Samuel.9,9,1 Samuel
1 Samuel.10,10,1 Samuel
1 Samuel.11,11,1 Samuel
1 Samuel.12,12,1 Samuel
1 Samuel.13,13,1 Samuel
1 Samuel.14,14,1 Samuel
1 Samuel.15,15,1 Samuel
1 Samuel.16,16,1 Samuel
1 Samuel.17,17,1 Samuel
1 Samuel.18,18,1 Samuel
1 Samuel.19,19,1 Samuel
1 Samuel.20,20,1 Samuel
1 Samuel.21,21,1 Samuel
1 Samuel.22,22,1 Samuel
1 Samuel.23,23,1 Samuel
1 Samuel.24,24,1 Samuel
1 Samuel.25,25,1 Samuel
1 Samuel.26,26,1 Samuel
1 Samuel.27,27,1 Samuel
1 Samuel.28,28,1 Samuel
1 Samuel.29,29,1 Samuel
1 Samuel.30,30,1 Samuel
1 Samuel.31,31,1 Samuel
1 Thessalonians.1,1,1 Thessalonians
1 Thessalonians.2,2,1 Thessalonians
1 Thessalonians.3,3,1 Thessalonians
1 Thessalonians.4,4,1 Thessalonians
