:START_ID,:END_ID,:TYPE,ratio,method
Matthew.2.17,Matthew.27.9,QUOTES,100,string_match
Matthew.2.18,Jeremiah.31.15,QUOTES,96,string_match
Matthew.3.3,Mark.1.3,QUOTES,100,string_match
Matthew.3.4,Mark.1.6,QUOTES,94,string_match
Matthew.3.6,Mark.1.5,QUOTES,100,string_match
Matthew.3.8,Luke.3.8,QUOTES,100,string_match
Matthew.3.9,Luke.3.8,QUOTES,97,string_match
Matthew.3.10,Luke.3.9,QUOTES,100,string_match
Matthew.3.10,Matthew.7.19,QUOTES,94,string_match
Matthew.3.12,Luke.3.17,QUOTES,100,string_match
Matthew.4.4,Luke.4.4,QUOTES,94,string_match
Matthew.4.6,Psalm.91.12,QUOTES,100,string_match
Matthew.4.6,Luke.4.11,QUOTES,100,string_match
Matthew.4.14,Matthew.8.17,QUOTES,100,string_match
Matthew.4.14,Matthew.12.17,QUOTES,100,string_match
Matthew.4.15,Isaiah.9.1,QUOTES,93,string_match
Matthew.4.16,Isaiah.9.2,QUOTES,100,string_match
Matthew.4.18,Mark.1.16,QUOTES,100,string_match
Matthew.4.19,Mark.1.17,QUOTES,100,string_match
Matthew.4.20,Mark.1.18,QUOTES,100,string_match
Matthew.4.22,Mark.1.20,QUOTES,100,string_match
Matthew.5.26,Luke.12.59,QUOTES,96,string_match
Matthew.6.19,Matthew.6.20,QUOTES,94,string_match
Matthew.6.20,Matthew.6.19,QUOTES,94,string_match
Matthew.6.21,Luke.12.34,QUOTES,100,string_match
Matthew.6.22,Luke.11.34,QUOTES,92,string_match
Matthew.6.24,Luke.16.13,QUOTES,96,string_match
Matthew.6.27,Luke.12.25,QUOTES,100,string_match
Matthew.6.29,Luke.12.27,QUOTES,94,string_match
Matthew.6.30,Luke.12.28,QUOTES,97,string_match
Matthew.6.32,Luke.12.30,QUOTES,95,string_match
Matthew.6.33,Luke.12.31,QUOTES,92,string_match
Matthew.7.1,Luke.6.37,QUOTES,95,string_match
Matthew.7.3,Luke.6.41,QUOTES,100,string_match
Matthew.7.5,Luke.6.42,QUOTES,100,string_match
Matthew.7.7,Luke.11.9,QUOTES,100,string_match
Matthew.7.8,Luke.11.10,QUOTES,100,string_match
Matthew.7.11,Luke.11.13,QUOTES,96,string_match
Matthew.7.12,Luke.6.31,QUOTES,100,string_match
Matthew.7.19,Matthew.3.10,QUOTES,94,string_match
Matthew.7.19,Luke.3.9,QUOTES,94,string_match
Matthew.7.29,Mark.1.22,QUOTES,95,string_match
Matthew.8.3,Luke.5.13,QUOTES,95,string_match
Matthew.8.9,Luke.7.8,QUOTES,100,string_match
Matthew.8.17,Matthew.4.14,QUOTES,100,string_match
Matthew.8.17,Matthew.12.17,QUOTES,100,string_match
Matthew.8.20,Luke.9.58,QUOTES,100,string_match
Matthew.9.2,Mark.2.5,QUOTES,96,string_match
Matthew.9.2,Luke.7.48,QUOTES,94,string_match
Matthew.9.5,Mark.2.9,QUOTES,100,string_match
Matthew.9.5,Luke.5.23,QUOTES,100,string_match
Matthew.9.6,Mark.2.10,QUOTES,100,string_match
Matthew.9.6,Luke.5.24,QUOTES,96,string_match
Matthew.9.12,Mark.2.17,QUOTES,96,string_match
Matthew.9.15,Mark.2.20,QUOTES,100,string_match
Matthew.9.15,Luke.5.35,QUOTES,100,string_match
Matthew.9.16,Mark.2.21,QUOTES,94,string_match
Matthew.9.38,Luke.10.2,QUOTES,100,string_match
Matthew.10.4,Mark.3.19,QUOTES,100,string_match
Matthew.10.15,Luke.10.12,QUOTES,100,string_match
Matthew.10.21,Mark.13.12,QUOTES,99,string_match
Matthew.10.22,Matthew.24.13,QUOTES,100,string_match
Matthew.10.22,Mark.13.13,QUOTES,100,string_match
Matthew.10.26,Luke.12.2,QUOTES,100,string_match
Matthew.10.30,Luke.12.7,QUOTES,100,string_match
Matthew.10.31,Luke.12.7,QUOTES,100,string_match
Matthew.10.36,Micah.7.6,QUOTES,92,string_match
