book,token_count
1 Chronicles,26888
1 Corinthians,10981
1 John,2909
1 Kings,27612
1 Peter,2828
1 Samuel,27563
1 Thessalonians,2172
1 Timothy,2804
2 Chronicles,29934
2 Corinthians,7027
2 John,343
2 Kings,27456
2 Peter,1795
2 Samuel,23568
2 Thessalonians,1207
2 Timothy,2041
3 John,371
Acts,26842
Amos,4766
Colossians,2370
Daniel,12814
Deuteronomy,29979
Ecclesiastes,6005
Ephesians,3503
Esther,6350
Exodus,34788
Ezekiel,42975
Ezra,8772
Galatians,3686
Genesis,43287
Habakkuk,1636
Haggai,1340
Hebrews,7899
Hosea,6076
Isaiah,41539
James,2684
Jeremiah,48513
Job,19936
Joel,2312
John,21830
Jonah,1466
Joshua,21108
Jude,760
Judges,21403
Lamentations,3834
Leviticus,25703
Luke,28530
Malachi,2064
Mark,16616
Matthew,26579
Micah,3490
Nahum,1452
Nehemiah,12856
Numbers,35623
Obadiah,741
Philemon,534
Philippians,2521
Proverbs,16912
Psalm,49342
Revelation,13260
Romans,11197
Ruth,2957
Song of Solomon,3198
Titus,1142
Zechariah,6939
Zephaniah,1827
